Tags,Ticket,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,23970734,24/06/2016 05:43,24/06/2016 05:44,AUDCHF,Buy,0.01,0.00000,0.00000,0.71199,0.71152,0.0000,0.0000,-4.7,-0.35,0.00,"Nor",0,00:00:00:56,,,,,,,,,,,,
,23970882,24/06/2016 05:43,24/06/2016 05:44,AUDCHF,Buy,0.01,0.00000,0.00000,0.71199,0.71389,0.0000,0.0000,19.0,1.43,0.00,"Nor",0,00:00:00:55,,,,,,,,,,,,
,24901330,24/06/2016 05:26,24/06/2016 05:31,AUDCHF,Buy,0.01,0.00000,0.00000,0.71982,0.72107,0.0000,0.0000,12.5,0.92,0.00,"jay",0,00:00:04:56,40.0,1m,6.9,0.40,12.5,0.8750000000000001,-5.0,-0.35000000000000003,71.4,100.0,0.00,0.00
,24901919,24/06/2016 05:26,24/06/2016 05:31,AUDCHF,Buy,0.01,0.00000,0.00000,0.71982,0.72123,0.0000,0.0000,14.1,1.04,0.00,"jay",0,00:00:04:55,40.0,1m,6.9,0.35,14.1,0.9870000000000001,-5.0,-0.35000000000000003,73.8,100.0,0.00,0.00
,24901419,24/06/2016 04:34,24/06/2016 04:46,AUDCHF,Sell,0.01,0.00000,0.72174,0.72274,0.72616,0.0000,0.0000,-34.2,-2.45,0.00,"",0,00:00:11:28,0.0,0s,34.2,34.25,0.0,0.0,-34.2,-2.3940000000000006,0.0,0.0,-34.20,-2.39
,24903339,24/06/2016 04:38,24/06/2016 04:38,AUDCHF,Buy Limit,0.01,0.00000,0.00000,0.72100,0.72594,0.0000,0.0000,0.0,0.00,0,"cancelled",0,00:00:00:08,,,,,,,,,,,,
,24902001,24/06/2016 04:35,24/06/2016 04:36,AUDCHF,Buy,0.01,0.00000,0.72505,0.72405,0.72513,0.0000,0.0000,10.8,0.77,0.00,"jay[tp]",0,00:00:00:48,,,,,,,,,,,,
,24749163,24/06/2016 02:18,24/06/2016 04:32,AUDCHF,Buy,0.01,0.00000,0.00000,0.72479,0.72602,0.0000,0.0000,12.3,0.88,0.00,"",0,00:02:13:43,31.4,41m,87.5,2.06,28.6,2.0020000000000002,-58.9,-4.123,32.7,81.4,-16.30,-1.14
,24749205,24/06/2016 02:18,24/06/2016 04:32,AUDCHF,Buy,0.01,0.00000,0.00000,0.72479,0.72600,0.0000,0.0000,12.1,0.86,0.00,"",0,00:02:13:43,31.4,41m,87.5,2.06,28.6,2.0020000000000002,-58.9,-4.123,32.7,81.1,-16.50,-1.16
,24745313,24/06/2016 02:25,24/06/2016 04:30,AUDCHF,Buy,0.01,0.00000,0.00000,0.72380,0.72519,0.0000,0.0000,13.9,1.00,0.00,"",0,00:02:04:51,64.0,1h 19m,87.5,1.27,38.5,2.6950000000000003,-49.0,-3.43,44.0,71.9,-24.60,-1.72
